NAME,DT,ID_RSSD,RISK2170,RISKB989,RISKM334,RISKM335,RISKM336,RISKM337,RISKM338,RISKM339,RISKM340,RISKM341,RISKM342,RISKM343,RISKM344,RISKM718,RISKM346,RISKM347,RISKM348,RISKM349,RISKM350,RISKM351,RISKJ458,RISKM352,RISKM353,RISKM354,RISKM345,RISKM355,RISKM356,RISKM357,RISKM358,RISKM359,RISKM360,RISKM361,RISKM362,RISKM363,RISKM364,RISKM365,RISKM366,RISKM367,RISKM368,RISKM369,RISKM370,RISKM371,RISKM372,RISKM373,RISK2309,RISKM374,RISKM375,RISKM376,RISKM377,RISKM378,RISKM379,RISKM380,RISKM381,RISKM382,RISKM383,RISKM384,RISKM385,RISKM386,RISKM387,RISKM388,RISKM389,RISKM390,RISKM405,RISKM406,RISKM407,RISKM408,RISKM409,RISKM410,RISKM411,RISKM412,RISKM413,RISK1773,RISKM414,RISKM415,RISKM416,RISKM417,RISKM418,RISKM419,RISKM420,RISKM421,RISK1754,RISKG506,RISKM422,RISKM423,RISKM424,RISKM425,RISKM426,RISK2948,RISKM427,RISKM428,RISKM429,RISKM430,RISKM431,RISKM432,RISKM433,RISKM434,RISKM435,RISKM436,RISKM437,RISKC490,RISKJ196,RISK8901,RISK8902,RISK9116,RISK4086,RISKN506,RISKN507,RISKN508,RISKN509,RISKN510,RISKN511,RISKN255
CITIGROUP INC.                                                                                                          ,20141231,1951350,1842181000,242570000,298910000,0,0,66108000,97200000,220083000,1063858000,67941000,619786000,612049000,7736000,10589000,330690000,181498000,834614500,64458000,2765877500,57940000,33585000,9956000,12788000,1257000,325000,468000,16818000,5946000,59689000,58117000,72711000,NULL,317240000,52169000,176927000,0,67842000,65268000,96397000,NULL,458603000,44597000,135724000,24244000,16155000,110937000,163624000,505808000,1406969000,386761000,2403720000,2401684000,647719000,17362791000,6359135000,720854000,587911000,2330483000,487452000,239769927000,8810471000,274865406000,12520569000,62489000,308283000,370772000,28586034000,26366056000,54952090000,260010000,NULL,300143000,560153000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23921000,43018000,832923000,492705000,103341000,367074000,756438000,1630485000,241459000,78145000,39000000,91477000,170458000,333695000,381905000,878000000,872741000,2345901000,100,John C. Gerspach,3/6/2015,"Shirley C. Wong, Director",347-648-1073,347-648-6652,wongs@citi.com,1995721000,29775000,85847000,10527000,310480000,81043000,168630000
"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",20141231,1132449,133000128,0,0,0,0,628719,2358,412718,1832412,1832412,31500138,8256189,23243949,74647,24463737,2349332,30450448,6089336,157363598,2911811,1798271,0,0,0,0,0,8423,0,0,10025,10025,NULL,4738555,4038671,1719026,0,0,27815,0,NULL,5785512,0,1500000,2350000,0,200000,4002460,8052460,14776,15,71773,49755,5140,275257,212788,8809,21374,45200,3446,1883079664,55921354,1883787997,3912695,0,0,0,5101413,41537440,46638853,0,NULL,18638577,18638577,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5148120,860,1550000,947000,0,0,947000,113732265,33892671,4963504,0,5326840,4107110,0,0,789910,773408,0,2,John Fawcett,3/6/2015,"Jonathan Gaudioso, SVP",401-757-5430,401-757-5333,Jonathan.M.Gaudioso@citizensbank.com,133002486,0,1832412,0,5243574,12458301,936702
COMERICA INCORPORATED                                                                                                   ,20141231,1199844,69452409,0,0,0,0,684276,262496,332742,598442,598442,1646553,0,1646553,6027752,20440332,5930190,32895671,56473,102554103,2877860,2431043,0,0,0,50296,0,233047,0,0,336055,129271,NULL,6057572,651431,4062746,0,0,31231,11501,NULL,4756909,0,648984,2007934,0,4420972,8385231,15463121,22763,0,139171,9101,2056,546693,273773,6847,0,93731,12020,249254865,81026,250361020,55913242,0,1556000,1556000,2547934,19013377,21561311,94666,NULL,8115784,8210450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1935314,138553,2051000,3508000,2115000,269000,1662000,62049957,23388691,2529319,40385,2624014,9513172,0,0,892646,664816,26377653,4,Karen L. Parkhill,3/6/2015,"Linda L. Mangliers, SVP Financial Reporting",248-371-6853,248-371-6841,llmangliers@comerica.com,69714905,0,598442,0,1644212,5232383,1333855
DEUTSCHE BANK TRUST CORPORATION                                                                                         ,20141231,1032473,55541200,12910600,12910600,11946000,0,11000,47600,24000,0,0,0,0,0,11000,8393000,672000,9100000,42000,52700800,23880000,542000,0,0,0,0,0,800,0,0,0,0,NULL,24422800,1905000,24199000,0,0,0,0,NULL,26104000,0,0,158500,0,0,0,158500,0,0,0,0,0,0,0,0,0,0,0,76992937000,0,76992937000,0,0,0,0,0,9046000,9046000,0,NULL,127400,127400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,83000,1074000,1000,1000,1000,1000,48153200,23205000,2383000,-4000,2502000,0,12910000,0,32000,37000,0,9,George Oommen,6/23/2015,Helen Wong-Lew,(212) 250-6737,(212) 797-5376,helen.wong-lew@db.com,43642800,0,0,0,109000,17500,900
DISCOVER FINANCIAL SERVICES                                                                                             ,20141231,3846375,83125845,0,0,0,0,43511,0,42754,0,0,168754219,168754219,0,383106,27892,0,17329174,269000,100186019,7332515,9500,0,0,0,0,4302,104736,0,0,43511,17469,NULL,7507731,92552,0,91971,0,24109,25285,NULL,233917,17394640,4450273,697916,0,27136268,29417341,79096438,121758,0,40184,34349,16347,1008563,322950,1766,645,126993,118703,319648705,371558,321440963,0,0,0,0,1350000,9877315,11227315,0,NULL,3951935,3951935,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101507,7496,129000,0,0,18000,18000,71992140,45926898,8493241,15328,9578151,30032196,0,0,43511,24109,0,9,R. Mark Graf,2/27/2015,Tom Bonifas,224-405-1082,224-405-3542,TomBonifas@discover.com,83125845,0,0,0,1661509,1857837,432589
FIFTH THIRD BANCORP                                                                                                     ,20141231,1070345,138705640,0,0,0,0,1289521,790190,894289,1113375,781741,23866016,16406777,7459239,7518636,33607736,3453495,47860758,2411000,184945588,2339984,156260,0,40867,11239,0,2355,418176,0,0,5559,275503,NULL,3247588,1261119,1664021,0,0,11566,295150,NULL,3231856,3476392,7390704,3950871,0,6854420,16794077,38466464,4214,0,11470,4515,0,52519,25812,1102,2645,31497,476,1479764213,11137,1479898463,246920645,158684,5909742,6068426,9996845,52855928,62852773,359784,NULL,21807301,22167085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185548,535396,4463000,1446000,1176000,323000,593000,123040826,55283571,6028529,18879,6479025,20006000,0,995249,1988802,968980,30835,6,"Tayfun Tuzun, EVP/CFO",3/6/2015,"Jennifer Burgas, VP",513-534-1983,513-534-3614,jennifer.burgas@53.com,139495830,0,910340,0,9639098,7129058,5398929
"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",20141231,2380443,856301000,301061000,331182000,0,0,63353000,103504000,318903000,1220735000,106852000,6510000,0,6510000,40590000,80287000,44608000,503074000,8987000,1484013000,45848000,20704000,1913000,7145000,370000,278000,938000,35049000,0,15272000,32132000,168240000,NULL,326951000,0,20789000,0,7061000,36054000,49501000,NULL,113405000,0,192130000,19363000,617000,25908000,83397000,328277000,395356000,7696000,321388000,157077000,437898000,1994702000,724866000,79027000,1222000,985047000,81117000,6120899000,1446355000,11306295000,1013139000,78000000,268000000,346000000,30835389000,22643230000,53478619000,255773000,NULL,47000,255820000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,44666000,333240000,257720000,0,32092000,289812000,773100000,76798000,35124000,12900000,40167000,84939000,547982000,541467000,1035955000,968733000,0,50,Harvey M. Schwartz,3/4/2014,Lisanne Malandruccolo  / Vice President,212-357-8455,212-256-4782,lisanne.malandruccolo@gs.com,989926000,18035000,88522000,6862000,75597000,31477000,148746000
HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,20141231,3232316,290100702,64717729,90179811,3609880,0,5409769,4598063,27648073,123126762,31852408,8198017,5041576,3156441,659491,68366532,5855998,103831171,3472425,416909713,15096279,2471605,0,1321907,154246,0,0,9008,0,4752474,1686827,10952801,NULL,36445147,18579,22819005,6700129,112674,3198795,8429856,NULL,41279038,2489286,22055188,10744206,4770555,12151918,0,54211153,91945227,0,277755148,62567555,232931379,497527957,283949779,94550147,86661,236579529,15182009,1911631546,517166333,3704706937,39475866,1197707,50689353,51887060,1733913493,3003752630,4737666123,28652101,NULL,30140333,58792434,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13473969,4231606,44431000,0,0,3000,3000,256703048,42705855,5889925,120913,7971462,0,184540588,182803015,75619385,74412997,229416382,5,GERARD MATTIA,3/6/2015,"M. WILLIAMS, DIRECTOR - REGULATORY REPORTING",2125255000,2125255568,MICHELLE.T.WILLIAMS@US.HSBC.COM,316550967,481275,40192832,2000000,11888379,3342903,43561152
HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,20141231,1068191,66298010,0,0,0,0,327588,98451,485306,456730,456370,7189335,717432,6471903,4131755,8452042,540225,14336537,392385,80340613,1995381,73678,0,50695,82738,0,300,1269,0,0,6485,59894,NULL,2270140,1975,1243036,0,0,9273,19394,NULL,1273678,65000,2533961,978809,0,3486519,8568056,16114479,209998,192,2381095,89721,87436,4641561,2631266,241736,22902,441849,197219,420956679,788045,431901654,79217167,49853,1092632,1142485,6155159,22940923,29096082,42189,NULL,9053110,9095299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3379905,1568234,1529000,401000,401000,0,0,59969840,29345950,2801269,-10056,2940615,8714658,0,0,513414,353058,0,4,Howell D. McCullough III,2/27/2015,Mary Beth Noack,614-480-5378,888-490-6663,marybeth.noack@huntington.com,66396461,8276,456370,482134,3252394,2149774,3693131
JPMORGAN CHASE & CO.                                                                                                    ,20141231,1039502,2572773000,325457000,468175000,1177000,0,78974000,74032000,376835000,2097304000,68513000,560900000,524435000,36465000,80088000,412422000,49428000,1002298000,47531000,3743113000,73129000,72595000,19292000,24771000,1918000,922000,191000,20548000,2186000,20619000,27746000,202071000,NULL,461425000,95074000,275360000,37359000,32740000,27849000,102448000,NULL,570830000,42959000,187103000,34968000,78391000,45674000,232472000,641607000,4241555000,122143000,4080498000,2902447000,1155090000,55108022000,7602911000,1234629000,113263000,7808563000,1056601000,237748156000,14302302000,323173878000,21097734000,70460000,420238000,490698000,34745399000,30522950000,65268349000,272620000,NULL,297649000,570269000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49252000,50457000,616296000,661201000,183869000,148269000,625601000,2340554000,554741000,95386000,23747000,103283000,234602000,933847000,934876000,1294582000,1278939000,15867000,58,Marianne Lake,3/6/2015,"Andres A. Romero, VP",212-552-9263,212-552-0886,andres.a.romero@chase.com,2788346000,27435000,86525000,20040000,125889000,121095000,323285000
KEYCORP                                                                                                                 ,20141231,1068025,93882115,3110,3110,0,0,609491,517905,273695,103775,98775,12728171,3762109,8966062,5813361,21049370,18403861,46813192,791983,140421229,4519475,594038,0,121432,0,0,0,45926,0,88,55572,86800,NULL,5423331,280852,1671917,0,0,87283,99558,NULL,2139610,501874,5187305,2091111,0,5292186,11945707,25397323,3389,0,40742,3908,0,95266,33945,1886,3137,4718,2300,945573761,10846,945763052,89323601,949347,4888670,5838017,5537284,50105484,55642768,748571,NULL,13359713,14108284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5015868,632417,1903000,564000,564000,8000,8000,83339989,41590752,4075290,36836,4336225,12788480,4117,4029,1643193,1325666,9063353,20,"Donald R. Kimble, Chief Financial Officer",3/6/2015,"Ronald S. Lewis, Senior Vice President",216-689-5213,216-689-7108,Ronald_S_Lewis@KeyBank.com,94400020,88,98775,379140,5972450,6763895,1371939
M&T BANK CORPORATION                                                                                                    ,20141231,1037003,96687224,0,0,0,0,338855,0,135727,0,0,10625149,2215051,8410098,2341947,10877144,7779830,23654384,751817,119589791,1339784,662824,0,2885,111587,0,700,13534,0,0,101099,28354,NULL,2260067,1306734,2072836,0,1400000,187327,47151,NULL,5014048,0,4000051,2422383,0,2374591,16626343,25803718,70145,0,1709684,78357,0,1202956,379319,5518,659,165596,3377,1542672120,59559,1546287731,112906366,0,25633255,25633255,2570092,19578950,22149042,10033,NULL,9156382,9166415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3507868,68365,316901,195731,195731,36478,36478,84351328,38348460,4384692,35036,4665123,16930080,0,1457221,338855,212068,0,9,"Rene F. Jones, Executive Vice President",12/27/2015,"Barry Mckenzie, Vice President",(716) 842-5344,(716)279-4147,bmckenzie@mtb.com,96687224,1457221,0,380350,3241725,4806419,1118271
MORGAN STANLEY                                                                                                          ,20141231,2162966,801510000,219996000,293789921,0,0,36394043,63195108,200771000,913062000,68181450,0,0,0,49416905,82074368,7426362,358222635,15487000,1281234664,68060475,25938684,334971,2788953,840435,847885,49299,31592619,13143612,16517538,17265974,70666455,NULL,221710377,229837,1641500,460000,47240701,25237817,43550011,NULL,118359866,12084768,141328421,13207000,0,1384459,72620221,246186644,190873470,1238941441,317320111,211124074,403365989,1537797592,746137832,78142370,28675171,483693496,63273513,6341302679,1466748770,11640647738,1573836522,71644000,259700000,331344000,18705991605,15809898875,34515890480,358241692,NULL,69216000,427457692,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100000,22137000,350157000,307896193,71771000,62056000,298181193,729406000,131298619,34180000,14300708,37858000,76088226,319475096,255273832,644247935,621698401,0,51,Paul Wirth,3/6/2015,Frank Tredici,212-276-2070,212-507-0495,Frank.Tredici@morganstanley.com,938499029,18534000,95157965,5561775,79668880,60813999,286974813
MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,20141231,1378434,113678090,62270,62270,0,0,911345,360606,457534,0,0,0,0,0,2485284,22560389,16965093,42471023,2608335,153901384,6883741,3833555,0,0,0,0,0,3699,0,2723,139876,107844,NULL,10971438,1267219,3878690,0,0,163061,53968,NULL,5362938,0,4345384,1812590,2592914,9438092,0,18188980,28568,2634,320957,24309,200861,880033,457110,7774,3367,435926,6183,945147547,239426,947515269,128819093,0,0,0,21538472,50139635,71678107,203879,NULL,13724282,13928161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8290908,2102106,4097000,3069000,631000,1000,2439000,98463560,37668143,3972688,67543,4380773,0,62270,67736,1747763,1462980,7052076,3,John F. Woods,3/5/2015,"Annette Hackett, Managing Director - Regulatory Reporting",415-765-2496,415-765-2230,annette.hackett@unionbank.com,114038696,2723,0,0,524872,6106179,7297110
NORTHERN TRUST CORPORATION                                                                                              ,20141231,1199611,109946485,1000000,1000000,0,0,2249951,315831,1742441,0,0,0,0,0,7517216,28357064,4223631,41853150,546000,151569466,36699246,1600886,1654079,1238887,0,0,924328,0,0,12798,1211168,785527,NULL,43202591,686355,15386330,0,71526,313274,1110313,NULL,17567798,1500000,2645406,1860540,0,1757419,8060398,16212311,361113695,27262251,443202224,181768569,9751037,4201288291,5180263723,114354007,27742068,353279701,567323540,23866618959,1028123601,35333968065,5968800000,0,0,0,1499172,268554331,270053503,4741,NULL,29558497,29563238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3246430,18109,26139000,64577000,25373000,11311000,50515000,101497539,11778053,4338357,1020981,4519787,16568690,1862674,1921650,4507229,4227383,0,20,Biff Bowman,3/5/2015,Rachelle Saieg/Vice President,312-444-4924,312-630-6107,rm87@ntrs.com,110262316,12798,0,388548,8991000,13080000,7492238
"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",20141231,1069778,345243081,1652385,1652385,0,0,2587000,506000,1133000,2796423,2734000,36680000,17026000,19654000,21432000,77966000,20814000,125059000,10883000,459925081,8033000,2571000,140000,440000,59000,0,9000,6866000,375000,177000,251000,474000,NULL,18636000,561000,7140000,0,152000,227000,262000,NULL,8342000,0,15750000,9151078,4995348,406000,47732000,78034804,11273000,0,38738000,10744000,305000,32288000,14535000,651000,29000,6516000,5187000,2478185000,10779000,2598451000,171000000,419000,12321000,12740000,144294000,134115000,278409000,2353000,NULL,44234612,46587612,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11588146,10257987,5343000,5251000,2618000,26000,2659000,299168764,142730000,15366484,176000,16272884,48901000,3681000,3656000,5745000,3984000,134876000,9,ROBERT Q. REILLY,3/6/2015,PATRICIA PONGIBOVE/VICE PRESIDENT,412-762-4350,412-705-1501,patricia.pongibove@pnc.com,345749081,46000,2734000,378,19031000,11172000,16384612
REGIONS FINANCIAL CORPORATION                                                                                           ,20141231,3242838,119888669,100000,100000,105001,0,0,111280,410402,1024779,1024779,11816382,5235210,6581171,5846922,26381126,2472433,36292522,5030707,151156763,490882,0,806,161799,3902,0,0,44353,0,0,370347,242161,NULL,1314250,7545,6493720,0,0,162335,168240,NULL,6831840,0,1247729,2158479,0,8594146,14297627,27305881,202207,0,1292822,131220,21564,3751522,1896466,26306,4770,210487,12372,793280102,475781,800829838,17108381,99948,1300257,1400205,30283421,48953097,79236518,105900,NULL,22052868,22158768,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2174579,275713,937000,748000,265000,0,483000,102900508,49536361,5206339,-253,5515371,15685963,100000,0,1232720,1271907,2831730,1,"David J. Turner, Jr.",3/4/2015,"Michael Cooley / SVP, Regulation W Officer",(205) 326-5320,(205) 326-4922,michael.cooley@regions.com,119894948,0,1024779,1007900,4415543,12929454,4813771
