NAME,DT,ID_RSSD,RISK2170,RISKB989,RISKM334,RISKM335,RISKM336,RISKM337,RISKM338,RISKM339,RISKM340,RISKM341,RISKM342,RISKM343,RISKM344,RISKM718,RISKM346,RISKM347,RISKM348,RISKM349,RISKM350,RISKM351,RISKJ458,RISKM352,RISKM353,RISKM354,RISKM345,RISKM355,RISKM356,RISKM357,RISKM358,RISKM359,RISKM360,RISKM361,RISKM362,RISKM363,RISKM364,RISKM365,RISKM366,RISKM367,RISKM368,RISKM369,RISKM370,RISKM371,RISKM372,RISKM373,RISK2309,RISKM374,RISKM375,RISKM376,RISKM377,RISKM378,RISKM379,RISKM380,RISKM381,RISKM382,RISKM383,RISKM384,RISKM385,RISKM386,RISKM387,RISKM388,RISKM389,RISKM390,RISKM405,RISKM406,RISKM407,RISKM408,RISKM409,RISKM410,RISKM411,RISKM412,RISKM413,RISK1773,RISKM414,RISKM415,RISKM416,RISKM417,RISKM418,RISKM419,RISKM420,RISKM421,RISK1754,RISKG506,RISKM422,RISKM423,RISKM424,RISKM425,RISKM426,RISK2948,RISKM427,RISKM428,RISKM429,RISKM430,RISKM431,RISKM432,RISKM433,RISKM434,RISKM435,RISKM436,RISKM437,RISKC490,RISKJ196,RISK8901,RISK8902,RISK9116,RISK4086,RISKN506,RISKN507,RISKN508,RISKN509,RISKN510,RISKN511,RISKN255
WELLS FARGO & COMPANY                                                                                                   ,20131231,1120754,1527015000,28457000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,19501000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1961304700,59079000,23630000,7199000,6091000,1643000,0,0,3458000,37000,369000,2336000,6495000,<NULL>,110263000,28929000,89993000,0,245000,3725000,6004000,<NULL>,128896000,0,81463000,33807000,5162000,131638000,238675000,507718000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,90021000,28761213000,2400000000,14308000,71639000,85947000,3013079000,1866517000,4879596000,43136000,<NULL>,252683000,295819000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,12346000,37171000,70104000,183737000,62405000,8907000,130239000,1356007000,606262000,83957000,405000,88246000,239256000,337000,0,70283000,72562000,105812000,30,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,16973000,<NULL>,<NULL>,127761000
"SUNTRUST BANKS, INC.                                                                                                    ",20131231,1131787,175380779,908291,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1568798,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,229448402,1576102,563829,0,55945,12783,0,0,0,0,35459,181319,1065538,<NULL>,3490975,111146,313925,0,14188,129041,739224,<NULL>,1307524,8194286,3631047,2627120,0,15080611,19733719,49991783,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,5145217,643952046,64437735,1242749,10008315,11251064,9867332,172659243,182526575,1765110,<NULL>,21803968,23569078,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,2629843,1643000,2002234,0,0,2002234,153958523,88158052,8243141,8059,8777839,19733719,1890946,2670675,5678103,5082925,41863,3,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,725000,<NULL>,<NULL>,14987093
"RBS CITIZENS FINANCIAL GROUP, INC.                                                                                      ",20131231,1132449,122257732,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1453879,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,146082291,2052319,1700481,0,0,0,0,0,7255,0,0,8834,8834,<NULL>,3777723,2058352,1075000,0,0,411422,65000,<NULL>,3609774,0,0,1350000,0,0,0,1350000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,135845,2816151155,6723995,0,0,0,1522576,41640379,43162955,0,<NULL>,15977601,15977601,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,4315407,735,1689000,954000,0,0,954000,103062185,36685948,4557514,0,5000126,0,0,0,777371,1066536,0,2,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,869364
NORTHERN TRUST CORPORATION                                                                                              ,20131231,1199611,102947333,500000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,142399203,36284922,2202503,1708294,880425,0,0,698117,5660,0,15092,1526490,970592,<NULL>,43593978,342151,9988297,0,36757,1018445,829770,<NULL>,12215420,1635090,3005596,1814490,0,1874416,7912025,16241617,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,896130616,32997307763,5575700000,0,0,0,1334715,253516713,254851428,1716,<NULL>,28398500,28400216,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1627664,98930,28277000,62665491,24592000,13284112,51357603,95035308,12168725,4093379,934663,4315774,14823700,1432268,1453933,3103555,3100905,0,20,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,11761216
COMERICA INCORPORATED                                                                                                   ,20131231,1199844,65356580,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,614430,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,98084049,3727732,4160659,0,0,0,54337,0,250597,0,0,164042,73243,<NULL>,8430610,658969,3519259,0,0,26929,36608,<NULL>,4241765,1000000,299243,2216021,0,5063467,8666734,17245465,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,73781,245756383,53084403,0,1484000,1484000,909559,19628910,20538469,107947,<NULL>,9306824,9414771,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,161518,1790000,3105000,1586000,240000,1759000,58204278,26857057,2498391,39620,2610532,8683141,0,0,499695,249210,28439692,4,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,1682347
BMO FINANCIAL CORP.                                                                                                     ,20131231,1245415,111073727,4000519,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,162934993,10617930,3052613,1374702,0,0,0,250,662336,0,0,7930,8152,<NULL>,15723663,769287,104581,0,0,74287,9613,<NULL>,957768,2375000,10974273,3136698,167140,9029079,0,25682190,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1031762,5244697795,257113000,1645419,6659018,8304437,1224546,20751954,21976500,4587923,<NULL>,15978734,20566657,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,555747,78116,6756000,6197000,425000,0,5772000,97160134,32346991,4530243,1957,4879371,0,17036886,20052454,366165,414988,0,4,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,10560869
TD BANK US HOLDING COMPANY                                                                                              ,20131231,1249196,234621843,2000000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,5000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,276806643,3601102,2556727,1616328,5748746,0,0,407,912765,0,15507,3139,115104,<NULL>,14569418,340846,4172635,0,76318,244758,290273,<NULL>,5124830,0,0,280155,0,8063379,0,8343534,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,13916,2392518835,9655029,0,0,0,42584804,108642839,151227643,36751,<NULL>,56173179,56209930,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,34734249,1776915,35402000,2697000,1453000,0,1244000,209657142,151664407,7440435,-1319,8272208,0,3518103,3578914,2682700,1392589,104193,2,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,17761485
AMERICAN EXPRESS COMPANY                                                                                                ,20131231,1275216,153387000,143000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,177271700,6474000,1000,0,42000,3000,0,73000,124000,0,0,329000,182000,<NULL>,7155000,43000,33418000,3122000,0,177000,161000,<NULL>,36921000,19566000,35785000,1983000,200000,7422000,96562000,161518000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1798000,143718000,0,0,0,0,0,42224000,42224000,0,<NULL>,5514000,5514000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,0,29504000,19763000,10314000,10457000,19906000,133883000,12557000,32880000,9466000,34838000,96562000,143000,0,701000,213000,236000,48,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,4401000
UNIONBANCAL CORPORATION                                                                                                 ,20131231,1378434,105900020,10701,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,146461571,6122510,3290194,0,0,0,0,0,6155,0,413,123302,291644,<NULL>,9834218,1370578,4148511,0,0,128867,209997,<NULL>,5857953,0,3893856,1835122,2524545,11493531,0,19747054,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,211954,1058278541,119954708,0,0,0,12806342,51502501,64308843,129041,<NULL>,15816780,15945821,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,6508803,2289132,2201000,3473556,858000,2805,2618361,91432172,32884923,3418490,69139,3825851,0,10701,8234,1083947,969930,6362957,3,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,8144298
ALLY FINANCIAL INC.                                                                                                     ,20131231,1562859,151167000,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,152516000,3533000,0,184000,216000,98000,0,309000,129000,0,1530000,118000,290000,<NULL>,6098000,0,9672000,6747000,0,66000,49000,<NULL>,16534000,46094000,27521000,2895000,0,31639000,0,108149000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,3317000,290017000,0,0,0,0,4207000,57335000,61542000,0,<NULL>,19478000,19478000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,205000,2236000,2339000,1876000,1469000,1932000,136958000,43238000,6406000,68000,9724000,0,0,1500000,351000,308000,0,20,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,9027000
CITIGROUP INC.                                                                                                          ,20131231,1951350,1880382000,257017000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1143364000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2894627600,77353000,32606000,9600000,11852000,1306000,478000,648000,20717000,4749000,51642000,49944000,170155000,<NULL>,420904000,63353000,206504000,0,96471000,41518000,104677000,<NULL>,512523000,92429000,139749000,30004000,17878000,151125000,157854000,595500000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,10052618000,300782648000,11095924000,53070000,277942000,331012000,30964827000,28507179000,59472006000,215877000,<NULL>,286511000,502388000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,10599000,45685000,838644000,516493000,113704000,339686000,742475000,1674249000,375047000,77661000,40400000,93374000,162094000,206805000,339304000,792490000,785818000,2036118000,100,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,6461000,<NULL>,<NULL>,130113000
MORGAN STANLEY                                                                                                          ,20131231,2162966,832702000,247837000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1404830000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1282726862,69027255,57869103,67681,2982171,918697,1259583,13500,28443926,12837867,20924917,15264061,351102271,<NULL>,535021798,388503,1508456,390695,65854761,17230751,97117923,<NULL>,182491089,14215188,139450542,14124000,8000,2471068,58556970,231405818,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1505997485,9811965074,1369185923,60914200,200890600,261804800,24311609378,19298902998,43610512376,395323139,<NULL>,53430000,448753139,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,23281000,353380000,386834000,74000,83248000,470008000,763672000,108010914,32364000,16067337,36795000,61496750,344664197,310687321,671409790,652757914,0,51,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2580050,<NULL>,<NULL>,316368655
CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,20131231,2277860,297282098,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,740640,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,336207913,9838440,3617871,0,30016,0,0,0,83359,0,0,360152,256804,<NULL>,14186642,22891,1313192,0,0,696356,434432,<NULL>,2466871,27519811,10463828,2670363,0,9156749,43872660,94444311,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,59612,913806352,2723565,384038,1466596,1850634,14100288,49318003,63418291,0,<NULL>,41797988,41797988,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,19131687,3649231,9495000,6840000,6835000,1877420,1882420,255535757,151365594,22514091,1640542,24307689,43872660,822113,955347,952013,704683,4234231,6,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,760900,<NULL>,<NULL>,16185755
"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",20131231,2380443,911595000,338487000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1430452000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1517513700,40327000,20922000,2025000,4787000,1932000,3392000,2808000,27547000,0,28863000,30597000,176252000,<NULL>,336644000,0,19856000,0,11108000,25386000,50592000,<NULL>,106942000,0,183904000,20742000,1011000,19709000,79122000,310141000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1505076000,9584773000,865755000,91000000,280000000,371000000,25260109000,25095131000,50355240000,273695000,<NULL>,35000,273730000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,43003000,346666000,281048000,0,38370000,319418000,832802000,65907000,36061000,11806000,41045000,79122000,620040000,609554000,844096000,764456000,0,51,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,5653000,<NULL>,<NULL>,138305000
HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,20131231,3232316,290013881,61267880,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,180380103,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,405781917,15442492,215753,0,1592855,144246,0,0,18750,0,3784874,3324439,11187956,<NULL>,35711365,20426,32449612,5299748,47052,5724142,11383894,<NULL>,54924874,3200418,18906707,11675690,3377917,9270216,0,50430948,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,167118418,1061322343,42774610,46663581,2071642,48735223,2035971564,3157854846,5193826410,23802657,<NULL>,54905569,78708226,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1364426,4205968,43465000,1857671,1004378,44670,897963,257324734,47572201,6747064,129153,9164831,0,170098377,169321098,77885508,73419815,223198621,8,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,4000000,<NULL>,<NULL>,39638238
REGIONS FINANCIAL CORPORATION                                                                                           ,20131231,3242838,117661732,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,934922,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,145969288,397737,0,48026,651884,7937,0,0,41968,0,0,8443,97879,<NULL>,1253874,68972,6484962,0,0,8598,130309,<NULL>,6692841,0,1595060,2162547,0,9876306,13625658,27270646,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,444229,754883180,22040423,6076793,38558610,44635403,12503814,61842223,74346037,111230,<NULL>,20946532,21057762,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2352958,313268,1058000,678000,218000,0,460000,101893782,69852668,5307589,-248,5687708,14727403,0,2170893,1139205,1191669,5685350,1,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,11075,<NULL>,<NULL>,5061298
"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",20131231,3587146,374310000,9084000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,409666200,54684000,13800000,2871000,45000,0,1651000,4020000,0,0,0,3251000,3011000,<NULL>,79313000,54188000,155331000,750000,12594000,4512000,2430000,<NULL>,229805000,0,17025000,2396000,96000,117000,39910000,61106000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,369035000,166278578000,23590412000,1311000,4529000,5840000,172860000,984990000,1157850000,8688000,<NULL>,79309000,87997000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,19743000,139000,86775000,229332000,89909000,24702000,164125000,335776000,13900000,14829000,5495000,15172000,39910000,10180000,10528000,19753000,19672000,0,35,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,1562000,<NULL>,<NULL>,38944000
DISCOVER FINANCIAL SERVICES                                                                                             ,20131231,3846375,79339664,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,95633012,6555990,0,5999,0,0,59211,1804,121283,0,0,78527,39935,<NULL>,6860945,198004,1360,84801,0,7681,4139,<NULL>,295985,16986138,2788763,697518,0,27251526,26422055,74146000,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,414933,321092913,0,0,0,0,550000,11081070,11631070,0,<NULL>,5111377,5111377,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,59797,4098,192000,0,0,21000,21000,68530516,44666601,8254214,12594,9345795,26422055,0,0,78527,7681,0,9,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,<NULL>,<NULL>,559482
"SANTANDER HOLDINGS USA, INC.                                                                                            ",20131231,3981856,77144021,0,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,7465,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,98283410,590542,963069,119399,2107781,0,0,19862,9841,0,0,35041,36088,<NULL>,3861761,115652,61564,0,0,207580,17022,<NULL>,401818,0,1596381,1700274,0,8139070,0,11631170,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,131203,24074151,0,0,0,0,295000,17242179,17537179,0,<NULL>,11606858,11606858,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,0,195288,3824906,1210379,0,0,1210379,63599038,31924423,2592400,16274,3374520,0,0,0,256885,273705,141402,3,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,195445,<NULL>,<NULL>,11600007
